Transaction_ID,Transaction_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_Category,Product,Quantity,Unit_Price,Discount_Percentage,Payment_Method,Gross_Sales,Discount_Amount,Net_Sales
TXN12080,2024-09-01,CUST1029,Krishna Patel,Male,30,Ahmedabad,Sports,Cricket Bat,8,1856.85,7.72,Cash,14854.8,1146.79,13708.01
TXN12283,2024-04-27,CUST1077,Krishna Sharma,Male,57,Kolkata,Home & Kitchen,Pressure Cooker,1,1998.76,24.49,Cash,1998.76,489.5,1509.26
TXN19794,2024-01-17,CUST1143,Deepak Tiwari,Male,42,Delhi,Electronics,Laptop,6,86053.26,0.12,Cash,516319.56,619.58,515699.98
TXN10113,2024-10-21,CUST1150,Aditya Sharma,Male,20,Ahmedabad,Beauty,Face Cream,3,652.08,8.69,Cash,1956.24,170.0,1786.24
TXN10018,2024-02-22,CUST1009,Neha Verma,Female,38,Ahmedabad,Beauty,Shampoo,1,382.58,8.02,Credit Card,382.58,30.68,351.9
TXN17907,2024-09-19,CUST1015,Aarav Pandey,Male,39,Kolkata,Home & Kitchen,Pressure Cooker,9,821.92,0.09,Credit Card,7397.28,6.66,7390.62
TXN11405,2024-08-27,CUST1007,Lakshmi Mehta,Female,36,Pune,Electronics,Laptop,2,66847.53,23.77,Cash,133695.06,31779.32,101915.74
TXN13152,2024-05-26,CUST1060,Sneha Chaudhary,Female,18,Jaipur,Toys,Action Figure,8,446.13,3.09,UPI,3569.04,110.28,3458.76
TXN18486,2024-05-01,CUST1156,Aditya Kumar,Male,46,Kolkata,Toys,Remote Car,7,2372.89,8.68,Cash,16610.23,1441.77,15168.46
TXN13049,2024-12-28,CUST1131,Sai Bose,Male,19,Bangalore,Groceries,Rice (5 kg),3,398.08,12.67,Credit Card,1194.24,151.31,1042.93
TXN13549,2024-12-29,CUST1025,Sai Joshi,Male,54,Jaipur,Electronics,Smartphone,9,42189.16,7.14,Wallet,379702.44,27110.75,352591.69
TXN13216,2024-11-05,CUST1056,Meera Mishra,Female,27,Bangalore,Clothing,Men's T-Shirt,3,1146.77,29.62,Net Banking,3440.31,1019.02,2421.29
TXN15789,2024-02-19,CUST1177,Sai Yadav,Male,44,Ahmedabad,Electronics,Tablet,4,37023.18,13.35,UPI,148092.72,19770.38,128322.34
TXN13408,2024-12-18,CUST1093,Nisha Srivastava,Female,24,Delhi,Electronics,Smartphone,10,37442.69,12.12,Cash,374426.9,45380.54,329046.36
TXN13207,2024-05-26,CUST1025,Nisha Agarwal,Female,26,Chennai,Sports,Dumbbells,10,2609.14,22.42,Debit Card,26091.4,5849.69,20241.71
TXN12164,2024-05-04,CUST1106,Saanvi Agarwal,Female,49,Delhi,Groceries,Cooking Oil,9,360.01,2.46,UPI,3240.09,79.71,3160.38
TXN11201,2024-10-21,CUST1177,Nisha Bose,Female,40,Jaipur,Toys,Board Game,6,895.74,19.03,Cash,5374.44,1022.76,4351.68
TXN13311,2024-09-16,CUST1023,Riya Shah,Female,52,Bangalore,Sports,Dumbbells,6,1236.81,28.04,Credit Card,7420.86,2080.81,5340.05
TXN11880,2024-01-21,CUST1043,Aditya Gupta,Male,30,Jaipur,Home & Kitchen,Mixer Grinder,5,3408.52,19.88,Wallet,17042.6,3388.07,13654.53
TXN19792,2024-05-10,CUST1172,Vihaan Bose,Male,46,Pune,Home & Kitchen,Water Bottle,1,362.01,26.42,Debit Card,362.01,95.64,266.37
TXN19255,2024-12-02,CUST1177,Ananya Gupta,Female,45,Mumbai,Toys,Puzzle Set,7,1121.08,29.54,Debit Card,7847.56,2318.17,5529.39
TXN16878,2024-12-10,CUST1151,Sai Tiwari,Male,20,Pune,Sports,Football,4,784.06,18.15,Cash,3136.24,569.23,2567.01
TXN19659,2024-08-09,CUST1065,Aadhya Singh,Female,58,Bangalore,Toys,Action Figure,1,821.41,10.53,Credit Card,821.41,86.49,734.92
TXN13291,2024-03-08,CUST1129,Rajesh Patel,Male,49,Delhi,Beauty,Lipstick,9,484.99,18.46,UPI,4364.91,805.76,3559.15
TXN19909,2024-06-05,CUST1040,Neha Shah,Female,50,Hyderabad,Beauty,Sunscreen,7,396.64,9.34,Cash,2776.48,259.32,2517.16
TXN18295,2024-10-24,CUST1139,Rahul Pandey,Male,39,Surat,Sports,Badminton Set,1,1178.67,12.6,Credit Card,1178.67,148.51,1030.16
TXN10860,2024-07-24,CUST1082,Rajesh Mehta,Male,32,Hyderabad,Beauty,Perfume,1,971.01,23.91,UPI,971.01,232.17,738.84
TXN17723,2024-11-28,CUST1188,Pihu Bose,Female,60,Pune,Beauty,Sunscreen,6,460.99,1.9,Credit Card,2765.94,52.55,2713.39
TXN13366,2024-11-27,CUST1126,Sneha Patel,Female,36,Delhi,Groceries,Rice (5 kg),1,413.22,0.65,Debit Card,413.22,2.69,410.53
